Date,Antelope Valley Ranch (AVR),Dry Creek,Elder Creek,KREW (P300 gauge),"Paradise, CA",San Dimas Experimental Watershed
1958-01-01,128,341,380,165,298,51
1958-02-01,245,614,675,255,491,183
1958-03-01,98,252,271,319,307,152
1958-04-01,87,223,229,270,254,245
1958-05-01,17,40,43,43,46,15
1958-06-01,14,22,26,5,43,1
1958-07-01,3,8,9,6,8,0
1958-08-01,2,9,14,3,4,13
1958-09-01,2,8,11,51,11,17
1958-10-01,5,15,19,0,28,16
1958-11-01,8,67,92,23,47,9
1958-12-01,34,105,123,25,110,0
1959-01-01,145,449,512,127,330,46
1959-02-01,108,288,341,215,246,100
1959-03-01,13,59,74,11,55,0
1959-04-01,10,18,19,51,60,28
1959-05-01,3,6,8,10,17,4
1959-06-01,0,1,1,0,1,0
1959-07-01,0,0,0,0,0,1
1959-08-01,3,13,14,1,6,1
1959-09-01,50,99,99,75,95,3
1959-10-01,0,14,20,0,1,1
1959-11-01,0,4,5,0,0,16
1959-12-01,40,112,129,34,101,69
1960-01-01,108,267,286,123,296,78
1960-02-01,105,274,300,189,241,69
1960-03-01,57,211,245,73,203,15
1960-04-01,30,93,103,116,103,74
1960-05-01,15,55,66,4,44,7
1960-06-01,0,0,0,0,0,0
1960-07-01,1,1,1,4,4,0
1960-08-01,0,1,1,0,1,0
1960-09-01,1,2,2,3,5,6
1960-10-01,10,47,56,17,29,8
1960-11-01,103,307,349,235,350,112
1960-12-01,81,291,314,46,165,5
1961-01-01,83,191,203,95,151,27
1961-02-01,53,190,232,36,151,1
1961-03-01,61,221,262,84,193,30
1961-04-01,18,68,81,48,77,8
1961-05-01,9,49,62,46,33,2
1961-06-01,4,5,6,3,13,0
1961-07-01,1,2,2,7,1,0
1961-08-01,5,19,22,21,8,12
1961-09-01,12,29,29,8,20,1
1961-10-01,5,40,55,6,27,1
1961-11-01,88,267,297,127,200,75
1961-12-01,79,209,225,108,221,71
1962-01-01,24,90,109,100,93,77
1962-02-01,165,335,347,446,433,230
1962-03-01,60,176,192,103,159,44
1962-04-01,5,31,42,11,37,1
1962-05-01,4,17,21,15,17,28
1962-06-01,2,3,4,1,11,1
1962-07-01,0,1,1,5,0,0
1962-08-01,3,44,65,5,7,0
1962-09-01,6,28,32,10,8,0
1962-10-01,140,329,345,46,362,5
1962-11-01,25,127,170,9,98,0
1962-12-01,73,211,215,37,176,2
1963-01-01,96,176,169,183,188,9
1963-02-01,66,163,189,197,130,89
1963-03-01,75,219,246,151,222,61
1963-04-01,97,341,383,312,366,101
1963-05-01,12,40,49,38,45,0
1963-06-01,1,3,5,11,11,9
1963-07-01,0,0,1,0,0,0
1963-08-01,0,1,1,10,0,4
1963-09-01,2,5,7,25,19,93
1963-10-01,50,167,198,72,129,34
1963-11-01,133,377,407,210,362,141
1963-12-01,16,71,88,26,38,2
1964-01-01,71,235,286,73,215,54
1964-02-01,3,16,23,3,12,4
1964-03-01,31,111,134,93,96,59
1964-04-01,6,17,19,79,32,40
1964-05-01,8,27,33,45,39,12
1964-06-01,15,14,14,10,33,8
1964-07-01,2,6,8,0,2,1
1964-08-01,0,3,4,25,3,0
1964-09-01,8,15,14,16,26,3
1964-10-01,44,110,116,70,63,8
1964-11-01,123,409,455,175,304,94
1964-12-01,156,550,624,305,496,50
1965-01-01,112,270,294,128,317,18
1965-02-01,18,50,56,32,42,7
1965-03-01,21,58,62,76,85,46
1965-04-01,78,245,267,235,259,292
1965-05-01,1,4,6,2,5,3
1965-06-01,1,3,5,1,7,2
1965-07-01,1,2,1,3,0,12
1965-08-01,25,54,54,15,69,3
1965-09-01,0,2,2,4,5,24
1965-10-01,1,12,15,11,5,0
1965-11-01,146,445,478,294,372,423
1965-12-01,70,198,220,179,171,153
1966-01-01,99,320,368,46,190,26
1966-02-01,64,167,181,55,127,43
1966-03-01,11,91,126,9,60,12
1966-04-01,12,49,54,40,74,2
1966-05-01,3,6,6,21,8,10
1966-06-01,2,2,3,7,2,0
1966-07-01,2,1,1,10,1,1
1966-08-01,5,16,18,0,1,0
1966-09-01,8,27,31,9,2,9
1966-10-01,0,4,8,0,0,5
1966-11-01,168,452,495,137,483,113
1966-12-01,104,296,324,335,272,224
1967-01-01,190,402,423,197,476,97
1967-02-01,10,27,32,23,27,1
1967-03-01,84,272,311,198,269,54
1967-04-01,91,248,257,475,275,209
1967-05-01,2,14,20,28,18,11
1967-06-01,25,22,22,23,52,3
1967-07-01,0,1,1,5,1,1
1967-08-01,0,2,3,3,1,7
1967-09-01,3,12,17,28,6,19
1967-10-01,13,76,95,5,42,0
1967-11-01,47,153,175,121,152,240
1967-12-01,61,225,249,113,165,60
1968-01-01,135,356,391,86,310,23
1968-02-01,82,183,195,83,179,17
1968-03-01,45,129,143,91,134,70
1968-04-01,9,21,19,50,18,41
1968-05-01,6,25,31,24,25,7
1968-06-01,4,4,5,6,13,1
1968-07-01,0,1,1,2,2,7
1968-08-01,24,100,112,4,45,11
1968-09-01,0,6,8,0,2,0
1968-10-01,34,82,92,86,116,11
1968-11-01,76,214,238,142,213,19
1968-12-01,162,539,582,241,406,39
1969-01-01,196,474,505,579,571,313
1969-02-01,161,361,387,387,364,283
1969-03-01,33,85,90,97,72,35
1969-04-01,33,102,110,164,129,50
1969-05-01,0,6,10,7,1,24
1969-06-01,5,8,11,25,23,5
1969-07-01,1,0,1,22,3,8
1969-08-01,0,0,0,1,0,0
1969-09-01,0,9,12,4,0,2
1969-10-01,38,99,107,40,91,1
1969-11-01,24,95,115,56,85,85
1969-12-01,205,570,602,125,535,4
1970-01-01,250,608,640,292,624,40
1970-02-01,45,116,129,76,107,59
1970-03-01,39,101,108,126,139,84
1970-04-01,7,31,37,38,34,6
1970-05-01,1,7,12,0,7,1
1970-06-01,14,13,13,19,35,1
1970-07-01,0,0,0,1,0,0
1970-08-01,0,0,0,0,0,3
1970-09-01,1,1,2,0,0,0
1970-10-01,31,94,105,6,86,2
1970-11-01,176,465,522,264,489,195
1970-12-01,147,449,487,218,384,136
1971-01-01,55,227,260,48,135,20
1971-02-01,3,32,48,32,14,18
1971-03-01,60,217,255,65,222,16
1971-04-01,13,65,78,66,60,33
1971-05-01,12,29,31,120,45,39
1971-06-01,2,6,10,1,23,1
1971-07-01,0,1,2,7,1,0
1971-08-01,1,14,20,2,1,0
1971-09-01,4,22,30,13,26,0
1971-10-01,7,30,37,17,13,14
1971-11-01,42,187,237,89,124,10
1971-12-01,110,298,324,257,281,204
1972-01-01,31,136,173,29,101,0
1972-02-01,38,135,166,50,107,2
1972-03-01,10,86,120,0,44,0
1972-04-01,29,93,104,56,122,8
1972-05-01,7,25,29,14,27,6
1972-06-01,4,7,11,17,13,9
1972-07-01,0,0,0,3,0,0
1972-08-01,0,6,7,3,1,16
1972-09-01,18,57,67,32,44,4
1972-10-01,64,150,152,29,144,14
1972-11-01,137,334,347,253,339,141
1972-12-01,77,265,294,126,188,57
1973-01-01,218,458,464,218,492,100
1973-02-01,144,288,293,263,307,172
1973-03-01,60,175,198,196,161,96
1973-04-01,3,19,24,22,12,2
1973-05-01,2,10,12,7,17,2
1973-06-01,0,1,1,3,2,0
1973-07-01,0,1,1,0,1,0
1973-08-01,0,2,2,3,4,1
1973-09-01,9,43,54,1,22,0
1973-10-01,55,161,174,76,147,3
1973-11-01,222,636,704,184,641,81
1973-12-01,100,306,344,167,294,8
1974-01-01,102,314,351,208,257,185
1974-02-01,39,137,166,31,101,3
1974-03-01,103,304,337,183,358,95
1974-04-01,29,114,132,123,113,24
1974-05-01,2,7,8,2,6,8
1974-06-01,2,4,6,0,8,0
1974-07-01,9,20,22,10,20,2
1974-08-01,1,8,12,0,5,1
1974-09-01,0,1,1,0,0,0
1974-10-01,33,82,87,99,87,30
1974-11-01,25,77,93,60,89,4
1974-12-01,101,308,339,130,233,124
1975-01-01,26,118,147,59,80,8
1975-02-01,154,340,363,166,353,64
1975-03-01,117,374,428,184,292,110
1975-04-01,23,83,96,116,115,99
1975-05-01,0,6,10,4,5,5
1975-06-01,1,3,4,1,7,2
1975-07-01,7,14,15,0,9,0
1975-08-01,5,19,23,19,29,0
1975-09-01,0,1,1,19,3,3
1975-10-01,71,204,228,99,185,10
1975-11-01,20,93,118,44,65,19
1975-12-01,27,120,153,20,90,11
1976-01-01,8,32,43,5,26,0
1976-02-01,30,147,191,222,91,111
1976-03-01,20,68,80,67,61,40
1976-04-01,36,130,141,101,106,61
1976-05-01,0,2,4,6,0,12
1976-06-01,3,4,4,13,3,6
1976-07-01,1,5,7,10,3,2
1976-08-01,26,78,87,34,58,2
1976-09-01,13,21,18,92,34,112
1976-10-01,6,14,14,50,7,15
1976-11-01,24,83,92,56,53,32
1976-12-01,21,41,39,50,34,21
1977-01-01,41,90,91,56,108,100
1977-02-01,27,75,87,24,68,19
1977-03-01,33,101,117,47,71,37
1977-04-01,2,16,20,2,19,0
1977-05-01,27,72,74,94,79,44
1977-06-01,0,1,2,24,5,3
1977-07-01,2,3,3,0,5,0
1977-08-01,1,10,14,13,3,60
1977-09-01,28,102,116,2,62,0
1977-10-01,10,55,72,9,14,0
1977-11-01,84,212,221,71,150,5
1977-12-01,115,360,391,294,330,144
1978-01-01,233,522,545,267,553,216
1978-02-01,104,262,287,321,220,203
1978-03-01,99,233,237,310,312,250
1978-04-01,66,207,222,285,280,109
1978-05-01,2,13,17,8,16,3
1978-06-01,1,2,3,0,6,0
1978-07-01,0,1,1,2,6,0
1978-08-01,0,10,17,2,4,2
1978-09-01,24,81,92,136,55,44
1978-10-01,0,0,1,0,0,4
1978-11-01,39,72,80,106,124,103
1978-12-01,14,50,63,83,65,73
1979-01-01,154,324,321,238,278,187
1979-02-01,121,306,329,193,304,83
1979-03-01,49,138,151,163,168,157
1979-04-01,32,103,119,17,117,1
1979-05-01,9,37,43,13,28,14
1979-06-01,0,0,0,0,1,1
1979-07-01,0,6,10,15,4,3
1979-08-01,6,12,12,0,24,0
1979-09-01,6,19,23,3,12,0
1979-10-01,64,205,243,42,174,27
1979-11-01,96,337,366,102,192,17
1979-12-01,139,335,323,80,311,12
1980-01-01,110,202,197,342,305,232
1980-02-01,180,353,362,266,378,288
1980-03-01,33,112,140,130,95,134
1980-04-01,28,117,131,71,91,30
1980-05-01,10,29,34,29,40,32
1980-06-01,8,11,10,0,22,0
1980-07-01,3,3,2,3,6,1
1980-08-01,0,0,0,0,1,0
1980-09-01,5,12,12,2,9,0
1980-10-01,10,51,62,8,36,2
1980-11-01,8,48,62,15,44,0
1980-12-01,101,263,278,59,219,25
1981-01-01,149,375,402,204,344,76
1981-02-01,38,126,145,83,88,37
1981-03-01,70,171,182,194,223,94
1981-04-01,17,48,49,99,66,28
1981-05-01,8,38,43,13,39,5
1981-06-01,0,2,3,0,0,0
1981-07-01,1,3,2,0,0,0
1981-08-01,0,1,1,0,0,0
1981-09-01,15,48,55,2,43,1
1981-10-01,73,200,219,70,222,18
1981-11-01,177,458,491,174,580,104
1981-12-01,130,390,416,103,297,21
1982-01-01,123,264,271,213,225,96
1982-02-01,57,141,163,104,143,34
1982-03-01,108,281,308,299,314,146
1982-04-01,68,196,219,231,235,109
1982-05-01,0,0,0,4,2,22
1982-06-01,9,15,20,24,35,1
1982-07-01,0,2,3,11,6,0
1982-08-01,0,2,3,7,3,1
1982-09-01,33,51,47,113,70,42
1982-10-01,86,220,240,110,222,9
1982-11-01,144,379,403,287,331,186
1982-12-01,92,353,428,196,260,53
1983-01-01,164,377,395,317,336,138
1983-02-01,165,392,435,253,380,131
1983-03-01,204,534,561,339,523,251
1983-04-01,87,242,251,183,245,192
1983-05-01,10,31,34,32,19,11
1983-06-01,3,4,6,1,18,0
1983-07-01,0,8,15,0,1,0
1983-08-01,14,99,127,30,11,48
1983-09-01,15,23,24,55,50,31
1983-10-01,15,41,48,31,63,49
1983-11-01,220,588,621,290,548,147
1983-12-01,243,669,713,260,617,97
1984-01-01,10,26,28,8,16,4
1984-02-01,40,124,149,81,124,2
1984-03-01,29,107,127,51,105,7
1984-04-01,18,77,91,38,76,24
1984-05-01,2,19,26,2,9,0
1984-06-01,4,10,14,10,15,2
1984-07-01,0,0,1,12,1,10
1984-08-01,10,16,14,14,31,19
1984-09-01,5,12,14,1,12,13
1984-10-01,43,115,128,57,118,5
1984-11-01,198,597,677,223,475,85
1984-12-01,49,140,153,157,110,220
1985-01-01,18,36,36,51,37,26
1985-02-01,36,97,111,64,92,33
1985-03-01,72,203,216,130,179,22
1985-04-01,6,15,16,21,15,3
1985-05-01,0,5,8,0,3,9
1985-06-01,0,3,5,17,2,3
1985-07-01,1,3,3,12,3,0
1985-08-01,1,7,10,4,4,0
1985-09-01,26,58,59,34,78,10
1985-10-01,21,85,102,50,57,10
1985-11-01,101,221,222,258,264,158
1985-12-01,66,177,185,99,152,10
1986-01-01,121,312,342,119,277,38
1986-02-01,241,502,520,396,476,138
1986-03-01,101,268,282,244,237,107
1986-04-01,19,51,52,66,77,36
1986-05-01,6,30,33,9,33,0
1986-06-01,0,2,3,0,3,0
1986-07-01,0,0,0,4,1,8
1986-08-01,0,1,1,0,0,1
1986-09-01,28,83,92,48,91,29
1986-10-01,8,43,54,1,23,14
1986-11-01,4,33,45,16,23,41
1986-12-01,43,161,183,76,100,38
1987-01-01,73,227,257,118,183,59
1987-02-01,72,169,182,150,173,51
1987-03-01,85,271,310,152,265,35
1987-04-01,3,14,18,23,13,9
1987-05-01,2,14,17,21,10,8
1987-06-01,0,2,3,2,1,2
1987-07-01,2,5,7,2,3,5
1987-08-01,0,1,1,0,0,9
1987-09-01,0,0,0,4,1,9
1987-10-01,28,60,61,59,35,78
1987-11-01,70,197,216,85,156,93
1987-12-01,149,479,547,131,403,78
1988-01-01,124,314,336,135,243,58
1988-02-01,10,15,16,26,16,36
1988-03-01,3,17,24,50,29,21
1988-04-01,42,119,128,204,147,133
1988-05-01,16,41,47,32,55,4
1988-06-01,13,21,27,3,21,0
1988-07-01,0,0,1,2,3,1
1988-08-01,0,0,0,0,0,2
1988-09-01,0,1,1,9,0,6
1988-10-01,3,19,23,0,3,0
1988-11-01,95,370,434,119,335,43
1988-12-01,76,231,264,191,193,138
1989-01-01,23,92,117,31,78,25
1989-02-01,17,50,62,86,65,61
1989-03-01,129,373,405,154,461,23
1989-04-01,18,73,82,19,77,3
1989-05-01,3,20,28,43,13,12
1989-06-01,8,12,13,3,17,1
1989-07-01,0,0,0,0,0,0
1989-08-01,1,6,10,8,10,0
1989-09-01,51,102,102,93,114,22
1989-10-01,59,192,209,41,188,13
1989-11-01,25,68,73,54,91,14
1989-12-01,0,5,8,0,1,1
1990-01-01,102,267,298,174,249,72
1990-02-01,52,112,123,98,109,73
1990-03-01,27,87,100,45,85,12
1990-04-01,6,27,33,104,40,36
1990-05-01,34,109,126,82,109,39
1990-06-01,0,2,4,1,4,3
1990-07-01,0,1,2,4,0,2
1990-08-01,4,20,28,2,14,7
1990-09-01,6,21,22,16,18,2
1990-10-01,10,43,52,3,31,1
1990-11-01,12,37,46,35,46,24
1990-12-01,30,80,88,45,64,6
1991-01-01,12,37,44,24,25,49
1991-02-01,65,136,143,65,119,97
1991-03-01,188,456,471,436,515,229
1991-04-01,18,59,67,17,68,3
1991-05-01,6,26,33,14,35,1
1991-06-01,16,16,15,5,27,0
1991-07-01,0,2,3,0,4,6
1991-08-01,1,6,8,4,5,1
1991-09-01,0,0,0,7,2,2
1991-10-01,20,57,60,78,51,15
1991-11-01,19,75,84,27,60,4
1991-12-01,77,209,224,130,198,82
1992-01-01,50,142,157,123,117,68
1992-02-01,154,343,364,257,330,213
1992-03-01,84,212,226,133,208,183
1992-04-01,22,76,88,30,85,11
1992-05-01,0,4,6,4,3,8
1992-06-01,19,30,35,4,40,0
1992-07-01,1,3,4,11,5,11
1992-08-01,0,1,1,2,1,0
1992-09-01,0,1,2,2,1,0
1992-10-01,56,156,167,85,130,35
1992-11-01,9,49,61,1,25,0
1992-12-01,170,507,546,266,440,182
1993-01-01,215,471,495,396,532,318
1993-02-01,135,269,288,258,333,210
1993-03-01,40,143,170,157,143,68
1993-04-01,26,117,146,26,97,1
1993-05-01,29,99,112,25,81,1
1993-06-01,23,31,36,22,40,5
1993-07-01,0,1,1,0,0,0
1993-08-01,0,5,9,0,6,0
1993-09-01,0,0,1,0,1,0
1993-10-01,26,59,62,22,80,7
1993-11-01,54,106,101,91,122,57
1993-12-01,68,234,265,77,185,40
1994-01-01,58,182,207,77,117,21
1994-02-01,85,234,261,144,219,125
1994-03-01,5,29,36,73,39,67
1994-04-01,27,104,113,102,82,42
1994-05-01,20,51,57,78,53,24
1994-06-01,0,2,3,0,1,1
1994-07-01,1,1,1,0,0,0
1994-08-01,0,0,0,0,0,1
1994-09-01,1,2,3,45,5,6
1994-10-01,20,29,28,54,43,16
1994-11-01,113,311,340,165,294,46
1994-12-01,87,259,294,120,280,50
1995-01-01,321,741,766,488,748,330
1995-02-01,13,49,58,56,44,49
1995-03-01,199,543,583,392,604,206
1995-04-01,37,165,192,123,189,51
1995-05-01,28,63,66,93,90,14
1995-06-01,19,21,25,20,43,6
1995-07-01,0,2,4,3,1,5
1995-08-01,0,0,1,0,0,1
1995-09-01,0,1,3,2,0,0
1995-10-01,0,2,4,0,0,0
1995-11-01,3,23,32,1,11,3
1995-12-01,180,582,639,268,438,56
1996-01-01,131,380,429,184,328,56
1996-02-01,143,327,359,297,312,156
1996-03-01,38,119,133,139,103,52
1996-04-01,51,164,179,126,186,30
1996-05-01,22,69,80,40,90,4
1996-06-01,0,1,1,4,4,0
1996-07-01,0,2,3,3,1,2
1996-08-01,0,0,0,0,0,0
1996-09-01,3,17,21,1,14,0
1996-10-01,45,102,116,114,106,42
1996-11-01,66,180,198,257,181,135
1996-12-01,196,678,756,384,464,115
1997-01-01,191,411,418,372,471,159
1997-02-01,9,49,60,21,18,10
1997-03-01,27,87,96,19,79,0
1997-04-01,12,69,83,8,67,2
1997-05-01,10,37,39,2,15,0
1997-06-01,12,19,24,4,28,1
1997-07-01,1,2,3,7,3,3
1997-08-01,19,64,69,2,26,0
1997-09-01,8,30,37,28,20,35
1997-10-01,26,101,120,11,89,4
1997-11-01,154,431,457,190,376,109
1997-12-01,66,204,221,150,170,162
1998-01-01,187,533,603,245,470,84
1998-02-01,259,583,622,478,517,333
1998-03-01,63,226,268,230,188,105
1998-04-01,50,148,157,199,187,85
1998-05-01,18,53,62,96,66,34
1998-06-01,6,10,13,45,32,5
1998-07-01,0,2,3,1,2,0
1998-08-01,0,0,0,0,0,7
1998-09-01,5,3,3,29,21,26
1998-10-01,30,92,107,27,73,2
1998-11-01,110,382,455,80,321,57
1998-12-01,30,113,140,61,116,30
1999-01-01,52,163,184,250,151,59
1999-02-01,132,394,440,118,310,23
1999-03-01,61,230,265,58,146,35
1999-04-01,30,96,101,129,98,113
1999-05-01,1,8,12,9,10,5
1999-06-01,7,7,8,5,22,7
1999-07-01,0,1,1,2,1,2
1999-08-01,3,14,16,2,7,0
1999-09-01,1,2,2,6,0,0
1999-10-01,13,51,61,3,43,0
1999-11-01,70,281,325,47,203,9
1999-12-01,12,65,80,5,42,4
2000-01-01,118,332,377,197,339,27
2000-02-01,178,392,426,313,437,140
2000-03-01,45,121,135,100,140,73
2000-04-01,44,139,150,112,165,79
2000-05-01,22,66,73,33,51,7
2000-06-01,10,16,18,31,16,1
2000-07-01,0,2,3,0,1,0
2000-08-01,0,1,1,3,0,4
2000-09-01,7,22,23,11,29,4
2000-10-01,62,169,189,111,162,27
2000-11-01,26,79,92,16,69,1
2000-12-01,13,71,85,13,45,1
2001-01-01,103,232,246,221,238,126
2001-02-01,109,269,290,160,249,166
2001-03-01,40,132,148,99,119,40
2001-04-01,28,75,85,161,121,73
2001-05-01,0,3,5,7,1,3
2001-06-01,8,14,16,0,13,1
2001-07-01,0,1,2,11,0,4
2001-08-01,0,3,5,0,0,0
2001-09-01,9,18,20,5,26,0
2001-10-01,28,57,60,15,71,2
2001-11-01,135,413,456,208,343,80
2001-12-01,192,554,602,229,470,39
2002-01-01,72,200,226,64,176,21
2002-02-01,22,114,145,31,64,10
2002-03-01,37,96,110,76,139,19
2002-04-01,5,33,43,49,35,17
2002-05-01,18,41,40,31,46,7
2002-06-01,0,1,2,1,1,1
2002-07-01,0,1,1,0,0,0
2002-08-01,0,2,2,0,0,1
2002-09-01,0,1,1,3,1,4
2002-10-01,0,1,1,1,0,1
2002-11-01,69,207,224,185,196,98
2002-12-01,265,866,949,254,676,105
2003-01-01,69,220,252,24,181,1
2003-02-01,44,120,136,133,102,156
2003-03-01,48,161,190,74,141,93
2003-04-01,78,332,381,218,259,87
2003-05-01,18,42,45,62,43,44
2003-06-01,0,0,0,0,0,3
2003-07-01,2,2,2,8,1,8
2003-08-01,13,24,30,16,36,3
2003-09-01,1,9,11,4,2,0
2003-10-01,2,5,6,1,6,3
2003-11-01,60,209,250,70,182,71
2003-12-01,213,612,656,243,552,45
2004-01-01,59,199,236,84,148,13
2004-02-01,151,378,421,205,367,142
2004-03-01,21,68,80,54,61,20
2004-04-01,8,43,54,23,27,37
2004-05-01,2,12,17,7,15,0
2004-06-01,0,0,1,1,2,0
2004-07-01,1,1,1,1,0,0
2004-08-01,0,3,5,1,0,0
2004-09-01,1,6,7,4,5,1
2004-10-01,92,243,270,155,244,55
2004-11-01,50,98,104,125,125,38
2004-12-01,160,473,516,313,441,178
2005-01-01,123,276,289,327,322,256
2005-02-01,65,152,163,185,124,242
2005-03-01,59,209,240,158,177,45
2005-04-01,30,127,148,81,116,49
2005-05-01,27,87,99,89,98,22
2005-06-01,18,25,29,2,35,0
2005-07-01,0,1,1,0,0,1
2005-08-01,0,1,1,6,0,2
2005-09-01,0,2,2,23,4,12
2005-10-01,14,48,57,33,35,35
2005-11-01,53,230,277,25,164,9
2005-12-01,261,779,830,264,711,20
2006-01-01,97,314,361,320,294,56
2006-02-01,62,171,198,59,158,64
2006-03-01,140,408,445,226,369,76
2006-04-01,105,318,330,320,401,136
2006-05-01,8,31,36,30,23,26
2006-06-01,1,3,4,2,3,1
2006-07-01,1,1,0,1,0,2
2006-08-01,0,1,1,0,0,1
2006-09-01,0,1,1,1,0,0
2006-10-01,4,17,18,16,10,5
2006-11-01,50,194,231,20,132,5
2006-12-01,81,287,323,115,201,26
2007-01-01,4,29,38,50,14,24
2007-02-01,97,275,323,106,247,38
2007-03-01,3,28,39,55,19,12
2007-04-01,36,106,114,61,100,32
2007-05-01,6,20,22,5,19,0
2007-06-01,1,4,5,0,7,0
2007-07-01,6,11,14,0,12,2
2007-08-01,0,1,1,16,0,0
2007-09-01,8,16,19,17,29,16
2007-10-01,43,144,167,42,87,8
2007-11-01,13,45,57,15,32,56
2007-12-01,90,299,332,184,204,54
2008-01-01,204,454,475,328,402,192
2008-02-01,59,139,154,133,147,49
2008-03-01,5,43,59,10,28,3
2008-04-01,3,21,29,2,15,3
2008-05-01,1,7,11,20,8,28
2008-06-01,0,0,1,0,0,0
2008-07-01,0,0,0,1,0,0
2008-08-01,0,1,2,0,1,0
2008-09-01,1,3,3,1,0,0
2008-10-01,18,61,73,10,57,1
2008-11-01,57,172,196,117,156,108
2008-12-01,45,160,193,151,126,98
2009-01-01,23,49,57,78,77,10
2009-02-01,143,299,316,144,327,101
2009-03-01,41,120,137,52,163,13
2009-04-01,10,25,29,41,32,3
2009-05-01,16,56,67,26,52,1
2009-06-01,7,6,10,24,22,3
2009-07-01,0,1,1,0,1,0
2009-08-01,0,3,6,2,1,0
2009-09-01,3,7,8,5,2,0
2009-10-01,74,165,175,69,137,22
2009-11-01,18,89,110,14,66,12
2009-12-01,66,215,246,243,181,121
2010-01-01,186,446,480,211,418,167
2010-02-01,76,186,208,159,176,109
2010-03-01,35,146,169,58,104,21
2010-04-01,77,251,283,191,280,86
2010-05-01,17,58,65,17,52,4
2010-06-01,2,5,8,0,2,0
2010-07-01,0,0,0,0,0,1
2010-08-01,0,1,2,0,1,0
2010-09-01,8,19,23,0,18,0
2010-10-01,67,210,227,65,145,48
2010-11-01,54,151,173,130,175,49
2010-12-01,146,441,491,363,391,229
2011-01-01,38,92,100,96,93,28
2011-02-01,78,168,179,145,176,63
2011-03-01,129,378,424,255,367,90
2011-04-01,13,79,98,29,55,22
2011-05-01,17,51,57,37,56,22
2011-06-01,10,14,17,11,32,0
2011-07-01,0,2,2,1,1,0
2011-08-01,0,1,1,0,0,0
2011-09-01,1,5,6,5,3,7
2011-10-01,42,130,148,61,99,21
2011-11-01,48,159,180,65,131,83
2011-12-01,8,44,54,10,17,38
2012-01-01,93,263,295,113,254,31
2012-02-01,33,92,105,53,92,21
2012-03-01,94,319,367,156,252,51
2012-04-01,48,155,170,196,143,90
2012-05-01,3,13,17,2,15,5
2012-06-01,3,10,14,1,8,0
2012-07-01,1,6,8,3,2,10
2012-08-01,0,1,1,3,0,4
2012-09-01,0,1,1,6,1,6
2012-10-01,26,81,93,30,56,18
2012-11-01,115,291,308,117,299,37
2012-12-01,193,563,612,234,495,94
2013-01-01,23,70,80,46,57,36
2013-02-01,12,37,43,47,20,17
2013-03-01,26,84,97,47,80,41
2013-04-01,16,62,71,25,65,4
2013-05-01,5,17,20,9,21,15
2013-06-01,4,6,7,2,14,0
2013-07-01,0,0,0,1,1,4
2013-08-01,2,6,7,3,9,0
2013-09-01,13,52,62,8,30,2
2013-10-01,1,3,3,5,11,5
2013-11-01,31,81,88,69,94,65
2013-12-01,13,33,36,21,45,13
2014-01-01,9,29,35,30,33,1
2014-02-01,112,278,308,157,266,64
2014-03-01,50,178,208,51,155,25
2014-04-01,26,68,71,89,80,28
2014-05-01,2,9,12,4,13,0
2014-06-01,1,2,2,0,1,0
2014-07-01,0,0,1,1,1,0
2014-08-01,2,6,8,3,12,15
2014-09-01,19,68,79,26,47,8
2014-10-01,29,121,145,35,74,3
2014-11-01,50,155,174,47,137,20
2014-12-01,241,648,687,270,553,160
2015-01-01,5,26,32,26,18,30
2015-02-01,54,142,161,97,136,18
2015-03-01,11,57,71,12,36,22
2015-04-01,35,100,109,136,127,32
2015-05-01,3,8,9,39,16,18
2015-06-01,4,4,4,5,10,1
2015-07-01,1,3,3,11,3,12
2015-08-01,1,7,9,2,2,1
2015-09-01,3,8,9,14,8,41
2015-10-01,13,36,41,45,62,11
2015-11-01,65,180,199,157,216,38
2015-12-01,107,422,489,198,275,40
2016-01-01,175,444,480,249,395,121
2016-02-01,23,65,75,39,66,6
2016-03-01,139,389,427,193,389,43
2016-04-01,21,65,74,132,99,57
2016-05-01,10,23,26,51,40,8
2016-06-01,3,4,4,7,8,0
2016-07-01,0,1,2,0,0,0
2016-08-01,0,0,0,3,0,0
2016-09-01,0,0,1,7,2,2
2016-10-01,94,294,338,159,282,19
2016-11-01,61,194,217,86,167,31
2016-12-01,105,272,294,221,314,143
2017-01-01,262,543,569,684,668,233
2017-02-01,212,428,459,393,527,155
2017-03-01,56,192,224,82,191,11
2017-04-01,52,183,207,177,206,8
2017-05-01,2,8,10,25,13,6
2017-06-01,9,17,21,4,17,0
2017-07-01,0,0,1,3,1,7
2017-08-01,2,10,14,18,8,16
2017-09-01,3,13,16,54,19,21
2017-10-01,6,27,33,4,26,0
2017-11-01,83,217,247,91,315,4
2017-12-01,5,16,20,6,27,0
2018-01-01,105,281,305,145,238,86
2018-02-01,15,50,57,18,44,10
2018-03-01,102,274,305,255,338,69
2018-04-01,53,174,192,121,195,9
2018-05-01,8,26,31,21,38,4
2018-06-01,2,3,4,0,5,0
2018-07-01,1,1,2,4,3,1
2018-08-01,0,1,1,0,0,3
2018-09-01,1,3,4,0,2,0
2018-10-01,13,34,36,24,34,16
2018-11-01,99,269,293,151,253,65
2018-12-01,75,235,259,95,229,91
